CodMunicipio;Ciudad;Año;Pobreza;PobrezaExtrema;Gini;TasaDesempleo;OcupacionInformal;ProporcionPoblacionPais;PorcentajeJovenes;DesempleoJovenes;IncidenciaCovid;NodoAglomeracion;ClasificacionOCDE
44001;Riohacha;2014;41,4;12,8;0,517;10,5;54,3;0,4;27,6;16,4;;0;Intermedio
47001;Santa Marta;2014;41,6;10,5;0,470;10,6;84,1;1,0;26,4;18,7;;0;Intermedio
70001;Sincelejo;2014;34,2;4,7;0,479;8,1;58,1;0,6;26,4;13,3;;0;Intermedio
15001;Tunja;2014;35,9;6,7;0,474;10,7;54,3;0,4;28,1;17,7;;0;Intermedio
20001;Valledupar;2014;33,8;4,1;0,424;9,7;51,5;1,0;27,7;15,0;;0;Intermedio
50001;Villavicencio;2014;29,0;5,0;0,449;9,8;52,8;1,1;27,4;15,1;;1;Intermedio
63001;Armenia;2013;40,8;8,6;0,498;13,8;55,5;0,6;24,8;20,1;;1;Predominantemente urbano
08001;Barranquilla A.M.;2013;32,8;5,3;0,458;8,0;58,3;2,5;25,7;15,7;;1;Predominantemente urbano
11001;Bogotá;2013;24,3;3,0;0,504;7,9;38,2;15,9;27,4;15,0;;1;Predominantemente urbano
68001;Bucaramanga A.M.;2013;22,8;1,9;0,437;7,7;50,9;1,2;26,9;12,6;;1;Predominantemente urbano
76001;Cali A.M.;2013;28,7;5,2;0,505;11,6;53,8;4,8;24,9;19,4;;1;Predominantemente urbano
13001;Cartagena;2013;36,9;6,7;0,475;9,5;53,7;2,0;26,8;20,6;;1;Predominantemente urbano
54001;Cúcuta A.M.;2013;34,5;6,2;0,443;12,9;66,0;1,5;26,7;20,2;;1;Predominantemente urbano
18001;Florencia;2013;47,9;7,9;0,500;10,2;57,0;0,4;28,8;16,3;;0;Predominantemente rural cercano
73001;Ibagué;2013;29,6;3,2;0,451;11,3;55,1;1,1;25,9;18,2;;0;Predominantemente urbano
17001;Manizales A.M.;2013;25,1;3,0;0,472;10,9;43,5;0,9;25,3;19,4;;1;Predominantemente urbano
05001;Medellín A.M.;2013;26,0;3,8;0,506;9,6;44,1;5,0;27,1;15,2;;1;Predominantemente urbano
23001;Montería;2013;38,7;8,0;0,525;10,2;68,9;1,0;26,7;16,0;;0;Intermedio
41001;Neiva;2013;35,8;5,5;0,478;10,1;53,0;0,7;26,2;15,7;;0;Intermedio
52001;Pasto;2013;43,9;7,2;0,511;9,9;61,7;0,8;26,7;18,2;;1;Intermedio
66001;Pereira A.M.;2013;37,1;6,5;0,481;11,8;57,0;1,0;25,4;17,2;;1;Predominantemente urbano
19001;Popayán;2013;48,6;13,9;0,512;12,2;60,2;0,7;26,6;21,0;;0;Intermedio
27001;Quibdó;2013;64,2;25,5;0,538;16,5;64,4;0,3;29,2;22,3;;0;Predominantemente rural cercano
44001;Riohacha;2013;41,9;12,9;0,523;8,6;44,5;0,4;27,5;13,4;;0;Intermedio
47001;Santa Marta;2013;40,5;9,5;0,458;9,3;73,8;1,0;26,5;16,4;;0;Intermedio
70001;Sincelejo;2013;37,9;5,3;0,476;9,5;68,1;0,6;26,5;15,6;;0;Intermedio
15001;Tunja;2013;36,9;5,7;0,477;10,9;55,3;0,4;28,5;18,0;;0;Intermedio
20001;Valledupar;2013;37,6;5,1;0,457;8,4;44,6;1,0;27,8;13,0;;0;Intermedio
50001;Villavicencio;2013;32,5;5,2;0,441;10,7;57,6;1,1;27,6;16,5;;1;Intermedio
63001;Armenia;2012;44,5;11,3;0,523;15,4;61,9;0,6;25,0;22,4;;1;Predominantemente urbano
08001;Barranquilla A.M.;2012;34,8;4,9;0,464;8,3;60,5;2,5;25,9;16,3;;1;Predominantemente urbano
11001;Bogotá;2012;26,9;3,7;0,497;9,5;45,9;16,0;27,5;18,0;;1;Predominantemente urbano
68001;Bucaramanga A.M.;2012;23,4;2,1;0,432;9,7;64,1;1,2;27,2;15,9;;1;Predominantemente urbano
76001;Cali A.M.;2012;30,5;6,7;0,515;14,3;66,3;4,8;25,1;23,9;;1;Predominantemente urbano
13001;Cartagena;2012;40,9;7,2;0,482;9,7;54,8;2,0;26,9;21,0;;1;Predominantemente urbano
54001;Cúcuta A.M.;2012;35,5;6,0;0,446;15,9;81,3;1,5;26,8;24,9;;1;Predominantemente urbano
18001;Florencia;2012;49,9;8,7;0,512;12,7;71,0;0,4;29,0;20,3;;0;Predominantemente rural cercano
73001;Ibagué;2012;32,5;3,7;0,451;13,3;64,9;1,1;26,0;21,4;;0;Predominantemente urbano
17001;Manizales A.M.;2012;26,7;2,9;0,455;12,3;49,1;0,9;25,6;21,9;;1;Predominantemente urbano
05001;Medellín A.M.;2012;28,7;4,4;0,500;12,4;57,0;5,0;27,0;19,6;;1;Predominantemente urbano
23001;Montería;2012;41,7;8,5;0,501;12,5;84,4;1,0;27,0;19,6;;0;Intermedio
41001;Neiva;2012;37,0;5,5;0,499;12,1;63,5;0,7;26,5;18,8;;0;Intermedio
52001;Pasto;2012;50,9;12,1;0,502;12,3;76,7;0,8;27,0;22,6;;1;Intermedio
66001;Pereira A.M.;2012;33,9;4,3;0,456;16,1;77,8;1,0;25,6;23,5;;1;Predominantemente urbano
19001;Popayán;2012;51,7;14,9;0,501;17,5;86,4;0,7;26,8;30,1;;0;Intermedio
27001;Quibdó;2012;66,8;23,5;0,546;17,6;68,7;0,3;29,5;23,8;;0;Predominantemente rural cercano
44001;Riohacha;2012;44,3;14,3;0,529;12,7;65,7;0,4;27,7;19,8;;0;Intermedio
47001;Santa Marta;2012;42,8;11,8;0,485;10,0;79,4;1,0;26,6;17,6;;0;Intermedio
70001;Sincelejo;2012;38,2;4,8;0,467;10,7;76,7;0,6;26,6;17,6;;0;Intermedio
15001;Tunja;2012;34,5;5,5;0,471;11,9;60,4;0,3;29,0;19,7;;0;Intermedio
20001;Valledupar;2012;38,8;6,5;0,481;10,3;54,7;1,0;28,1;15,9;;0;Intermedio
50001;Villavicencio;2012;33,2;7,1;0,469;11,8;63,5;1,1;27,8;18,2;;1;Intermedio
